X	Y	Z	ASPECT	SLOPE
516209.7	1102771.863	3300	168.5	22.7
516309.7	1102771.863	3285	168.5	25.79
494509.7	1102671.863	1235	0	0
494609.7	1102671.863	1235	0	0
494709.7	1102671.863	1235	0	0
494809.7	1102671.863	1235	0	0
494909.7	1102671.863	1235	0	0
495009.7	1102671.863	1235	0	0
495109.7	1102671.863	1235	0	0
495209.7	1102671.863	1235	0	0
495309.7	1102671.863	1235	0	0
495409.7	1102671.863	1235	0	0
495509.7	1102671.863	1235	0	0
495609.7	1102671.863	1235	0	0
495709.7	1102671.863	1235	0	0
495809.7	1102671.863	1235	0	0
495909.7	1102671.863	1235	0	0
496009.7	1102671.863	1235	0	0
496109.7	1102671.863	1235	0	0
496209.7	1102671.863	1235	0	0
496309.7	1102671.863	1235	0	0
496409.7	1102671.863	1235	270	5.71
496509.7	1102671.863	1235	270	8.53
496609.7	1102671.863	1255	270	5.71
496709.7	1102671.863	1265	270	5.71
496809.7	1102671.863	1275	270	2.86
496909.7	1102671.863	1285	0	0
497009.7	1102671.863	1285	90	2.86
497109.7	1102671.863	1285	0	0
497209.7	1102671.863	1275	270	8.53
497309.7	1102671.863	1285	270	8.53
497409.7	1102671.863	1305	270	2.86
497509.7	1102671.863	1315	270	2.86
497609.7	1102671.863	1315	270	5.71
497709.7	1102671.863	1325	270	2.86
497809.7	1102671.863	1335	270	2.86
497909.7	1102671.863	1335	270	2.86
498009.7	1102671.863	1345	0	0
498109.7	1102671.863	1345	270	2.86
498209.7	1102671.863	1345	270	2.86
498309.7	1102671.863	1355	0	0
498409.7	1102671.863	1355	0	0
498509.7	1102671.863	1355	270	2.86
